138	archive.ics.uci.edu/ml/machine-learning-databases/00344?C=D;O=A
139	archive.ics.uci.edu/ml/machine-learning-databases/00344?C=M;O=D
140	archive.ics.uci.edu/ml/machine-learning-databases/00354
141	archive.ics.uci.edu/ml/machine-learning-databases/00361
142	archive.ics.uci.edu/ml/machine-learning-databases/00362
143	archive.ics.uci.edu/ml/machine-learning-databases/00363?C=D;O=A
144	archive.ics.uci.edu/ml/machine-learning-databases/00365
145	archive.ics.uci.edu/ml/machine-learning-databases/00368
146	archive.ics.uci.edu/ml/machine-learning-databases/00369
147	archive.ics.uci.edu/ml/machine-learning-databases/00370?C=M;O=A
148	archive.ics.uci.edu/ml/machine-learning-databases/20newsgroups-mld?C=S;O=A
149	archive.ics.uci.edu/ml/machine-learning-databases/CorelFeatures-mld/CorelFeatures.data.html
150	archive.ics.uci.edu/ml/machine-learning-databases/SyskillWebert-mld?C=N;O=D
151	archive.ics.uci.edu/ml/machine-learning-databases/SyskillWebert-mld?C=S;O=A
152	archive.ics.uci.edu/ml/machine-learning-databases/UNIX_user_data-mld?C=N;O=D
153	archive.ics.uci.edu/ml/machine-learning-databases/UNIX_user_data-mld?C=S;O=A
154	archive.ics.uci.edu/ml/machine-learning-databases/abalone
155	archive.ics.uci.edu/ml/machine-learning-databases/abscisic-acid
156	archive.ics.uci.edu/ml/machine-learning-databases/acute?C=M;O=A
157	archive.ics.uci.edu/ml/machine-learning-databases/adult
158	archive.ics.uci.edu/ml/machine-learning-databases/adult?C=D;O=D
159	archive.ics.uci.edu/ml/machine-learning-databases/adult?C=S;O=A
160	archive.ics.uci.edu/ml/machine-learning-databases/anonymous?C=S;O=A
161	archive.ics.uci.edu/ml/machine-learning-databases/arrhythmia?C=M;O=A
162	archive.ics.uci.edu/ml/machine-learning-databases/arrhythmia?C=N;O=D
163	archive.ics.uci.edu/ml/machine-learning-databases/audiology
164	archive.ics.uci.edu/ml/machine-learning-databases/audiology?C=M;O=A
165	archive.ics.uci.edu/ml/machine-learning-databases/audiology?C=S;O=D
166	archive.ics.uci.edu/ml/machine-learning-databases/auslan2-mld/auslan.data.html
167	archive.ics.uci.edu/ml/machine-learning-databases/autos?C=N;O=A
168	archive.ics.uci.edu/ml/machine-learning-databases/balance-scale
169	archive.ics.uci.edu/ml/machine-learning-databases/balance-scale?C=D;O=D
170	archive.ics.uci.edu/ml/machine-learning-databases/balloons
171	archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer
172	archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin
173	archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin?C=M;O=D
174	archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin?C=S;O=A
175	archive.ics.uci.edu/ml/machine-learning-databases/car
176	archive.ics.uci.edu/ml/machine-learning-databases/census-income-mld/census-income.data.html
177	archive.ics.uci.edu/ml/machine-learning-databases/census1990-mld/USCensus1990raw.coding.htm
178	archive.ics.uci.edu/ml/machine-learning-databases/chess
179	archive.ics.uci.edu/ml/machine-learning-databases/chess/domain-theories?C=N;O=D
180	archive.ics.uci.edu/ml/machine-learning-databases/chess/king-rook-vs-king-knight?C=D;O=A
181	archive.ics.uci.edu/ml/machine-learning-databases/chess/king-rook-vs-king-pawn
182	archive.ics.uci.edu/ml/machine-learning-databases/chess?C=M;O=A
183	archive.ics.uci.edu/ml/machine-learning-databases/chorales
184	archive.ics.uci.edu/ml/machine-learning-databases/coil-mld/coil.data.html
185	archive.ics.uci.edu/ml/machine-learning-databases/coil-mld/coil.html
186	archive.ics.uci.edu/ml/machine-learning-databases/concrete
187	archive.ics.uci.edu/ml/machine-learning-databases/concrete/slump
